1_Result,,,,
,,,,
churned,total,churn_rate_pct,,
1796,6687,26.9,,
,,,,
2_Result,,,,
,,,,
"contract_type","customers","churned","churn_rate_pct"
"Month-to-Month","3411","1579","46.3"
"One Year","1479","167","11.3"
"Two Year","1797","50","2.8"

,,,,
3_Result,,,,
,,,,
payment_method,customers,churned,churn_rate_pct,
Paper Check,371,141,38,
Direct Debit,3702,1277,34.5,
Credit Card,2614,378,14.5,
,,,,
4_Result,,,,
,,,,
contract_type,device_protection_backup,customers,churned,churn_rate_pct
Month-to-Month,1,811,397,49
Month-to-Month,,2600,1182,45.5
One Year,1,630,95,15.1
One Year,,849,72,8.5
Two Year,1,853,36,4.2
Two Year,,944,14,1.5
,,,,
5_Result,,,,
,,,,
"churn_category","churned_customers","pct_of_churn"
"Competitor","805","44.8"
"Attitude","287","16.0"
"Dissatisfaction","286","15.9"
"Price","200","11.1"
"Other","191","10.6"
"","27","1.5"

,,,,
6_Result,,,,
,,,,
contract_type,churn_category,churned_customers,,
Month-to-Month,Competitor,717,,
Month-to-Month,Attitude,261,,
Month-to-Month,Dissatisfaction,251,,
Month-to-Month,Price,172,,
Month-to-Month,Other,167,,
Month-to-Month,,11,,
One Year,Competitor,67,,
One Year,Dissatisfaction,26,,
One Year,Other,23,,
One Year,Attitude,22,,
One Year,Price,19,,
One Year,,10,,
Two Year,Competitor,21,,
Two Year,Dissatisfaction,9,,
Two Year,Price,9,,
Two Year,,6,,
Two Year,Attitude,4,,
Two Year,Other,1,,
,,,,
7_Result,,,,
,,,,
contract_type,device_protection_backup,active_customers,monthly_revenue_at_risk,
Month-to-Month,,1418,35622,
Two Year,1,817,33669,
One Year,1,535,20814,
One Year,,777,17965,
Two Year,,930,17657,
Month-to-Month,1,414,15679,
,,,,
8_Result,,,,
,,,,
churn_label,avg_service_calls,,,
,0.37,,,
1,2.4,,,
,,,,
9_Result,,,,
,,,,
state,customers,churn_rate_pct,churn_rank,
CA,68,63.2,1,
OH,158,34.8,2,
PA,90,33.3,3,
MD,140,32.9,4,
NE,122,32.8,5,
NH,112,32.1,6,
MT,137,31.4,7,
OR,156,30.8,8,
KY,118,30.5,9,
DE,122,30.3,10,
,,,,
10_Result,,,,
,,,,
charge_quartile,customers,min_charge,max_charge,churn_rate_pct
1,1672,5,16,11.2
2,1672,16,31,25.4
3,1672,31,43,33.6
4,1671,43,78,37.3
,,,,
11_Result,,,,
,,,,
account_length_months,churned_this_month,cumulative_churned,,
1,367,367,,
2,117,484,,
3,82,566,,
4,80,646,,
5,60,706,,
6,37,743,,
7,52,795,,
8,41,836,,
9,45,881,,
10,34,915,,
11,47,962,,
12,30,992,,
13,35,1027,,
14,26,1053,,
15,27,1080,,
16,34,1114,,
17,30,1144,,
18,18,1162,,
19,19,1181,,
20,14,1195,,
21,26,1221,,
22,22,1243,,
23,15,1258,,
24,22,1280,,
25,14,1294,,
26,20,1314,,
27,9,1323,,
28,15,1338,,
29,11,1349,,
30,22,1371,,
31,17,1388,,
32,13,1401,,
33,19,1420,,
34,11,1431,,
35,9,1440,,
36,17,1457,,
37,7,1464,,
38,16,1480,,
39,16,1496,,
40,7,1503,,
41,9,1512,,
42,14,1526,,
43,12,1538,,
44,10,1548,,
45,10,1558,,
46,11,1569,,
47,10,1579,,
48,11,1590,,
49,18,1608,,
50,8,1616,,
51,8,1624,,
52,9,1633,,
53,15,1648,,
54,12,1660,,
55,6,1666,,
56,7,1673,,
57,9,1682,,
58,6,1688,,
59,10,1698,,
60,10,1708,,
61,6,1714,,
62,3,1717,,
63,3,1720,,
64,10,1730,,
65,5,1735,,
66,10,1745,,
67,7,1752,,
68,11,1763,,
69,11,1774,,
70,10,1784,,
71,3,1787,,
72,3,1790,,
73,3,1793,,
74,3,1796,,
75,0,1796,,
76,0,1796,,
77,0,1796,,
